Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
-0.071045,0.000000,617.091454,14.867447,-1.485063,0.000538,0.137650,-0.416930,-19.817932,0.842555,
-0.100891,-0.000000,628.110945,15.557203,0.921720,-0.000112,0.136879,-0.424391,-18.703009,1.027568,
-0.091614,0.000022,639.130435,24.814497,0.642283,-0.000561,0.136093,-0.431852,-15.989168,0.708302,
-0.049103,-0.000354,650.149925,26.241472,-0.545681,-0.000526,0.135295,-0.439315,-16.801361,1.077249,
0.008545,-0.000000,661.169415,16.819426,1.166964,-0.000122,0.134483,-0.446778,-14.308830,0.557692,
0.059387,0.000000,672.188906,18.835388,-1.505841,0.000294,0.133652,-0.454242,-13.097831,0.644453,
0.083374,0.000002,683.208396,16.280985,1.355033,0.000422,0.132805,-0.461706,-8.228619,1.121211,
0.067017,0.000311,694.227886,14.782706,-1.350801,0.000225,0.131946,-0.469172,-9.675449,-1.110904,
0.014954,-0.016003,705.247376,26.361181,-1.159573,-0.000096,0.131078,-0.476638,-20.901548,0.545618,
-0.052032,-0.000000,716.266867,26.713696,0.583351,-0.000289,0.130187,-0.484105,-13.817992,0.166521,
-0.116516,-0.000002,727.286357,16.837708,0.151027,-0.000239,0.129290,-0.491573,-13.214743,-0.221006,
-0.171173,0.000051,738.305847,18.237671,0.485659,-0.000028,0.128368,-0.499042,-14.870600,-0.793964,
-0.211395,0.001927,749.325337,19.038517,1.067810,0.000163,0.127440,-0.506511,-21.534027,-0.189209,
-0.233337,0.000000,760.344828,27.469954,0.394229,0.000203,0.126492,-0.513982,-15.001344,0.068992,
-0.241821,-0.000000,771.364318,27.757755,-0.345253,0.000090,0.125530,-0.521453,-15.022035,-0.428708,
-0.246185,0.000010,782.383808,27.325773,-1.070065,-0.000066,0.124554,-0.528925,-16.393677,-0.553497,
